spotify_id,name,artists,album,genres,popularity,duration_ms,release_date,preview_url,track_url,explicit,album_image_url,isrc
4Dz0U7qR4GxIZAOGGEPuTf,What You Are,Audioslave,Audioslave,alternative metal; grunge; post-grunge,58,249400,2002-11-17,,https://open.spotify.com/track/4Dz0U7qR4GxIZAOGGEPuTf,False,https://i.scdn.co/image/ab67616d0000b273a7292b6863258e889b78d787,USSM10211585
2hmHlBM0kPBm17Y7nVIW9f,My Propeller,Arctic Monkeys,Humbug,garage rock; indie,62,205746,2009-08-20,,https://open.spotify.com/track/2hmHlBM0kPBm17Y7nVIW9f,False,https://i.scdn.co/image/ab67616d0000b273f65d720a5d70dbb93e96d528,GBCEL0900442
0X9wubEYVnWE6S4p03ezrx,Animal,Miike Snow,Miike Snow (Deluxe Edition),alternative dance,61,264266,2009-05-22,,https://open.spotify.com/track/0X9wubEYVnWE6S4p03ezrx,False,https://i.scdn.co/image/ab67616d0000b27330762aababd02552f7287fbd,GBARL0900399
1WYEDcS7WGjv0rG7rmMX3o,Bitter Sweet Symphony,The Verve,This Is Music: The Singles 92-98,britpop; shoegaze,64,359546,2004-01-01,,https://open.spotify.com/track/1WYEDcS7WGjv0rG7rmMX3o,False,https://i.scdn.co/image/ab67616d0000b2732cdc4b4e178dabf49c002280,GBAAA0400535
5gbxzSqABThINGDb7vIiwe,Edge of Desire,John Mayer,Battle Studies,singer-songwriter,60,332066,2009-11-13,,https://open.spotify.com/track/5gbxzSqABThINGDb7vIiwe,False,https://i.scdn.co/image/ab67616d0000b2731e3dbe4453ed61633c472fbe,USSM10905706
2TAQ9YGehOKWDqDak5DuXc,Plush,Stone Temple Pilots,Thank You,alternative rock; grunge; post-grunge; rock,60,310400,2003-11-10,,https://open.spotify.com/track/2TAQ9YGehOKWDqDak5DuXc,False,https://i.scdn.co/image/ab67616d0000b27377696910e15c42a5e37636e5,USAT29200016
11DdPGqDsM3ux1gVAqUIln,Balaclava,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),garage rock; indie,53,167440,2007-04-24,,https://open.spotify.com/track/11DdPGqDsM3ux1gVAqUIln,False,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90,GBCEL0700066
4iG2gAwKXsOcijVaVXzRPW,Time to Pretend,MGMT,Oracular Spectacular,indie,78,261000,2007-12-14,,https://open.spotify.com/track/4iG2gAwKXsOcijVaVXzRPW,True,https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb,USSM10702127
78NnAw2qrlMrsedXLWLsYj,Laundry Room,The Avett Brothers,I And Love And You,alt country; americana; bluegrass; folk; folk rock; indie folk; newgrass,51,291360,2009-01-01,,https://open.spotify.com/track/78NnAw2qrlMrsedXLWLsYj,False,https://i.scdn.co/image/ab67616d0000b27348d5947c976c243542c25e21,USSM10903392
6VKAWqNzAMo3m82rqV5BMR,The Sound of Settling,Death Cab for Cutie,Transatlanticism (10th Anniversary Edition),,53,132506,2003,,https://open.spotify.com/track/6VKAWqNzAMo3m82rqV5BMR,False,https://i.scdn.co/image/ab67616d0000b273c988bbfb15aca7928323d2ff,USBS50310283
