spotify_id,name,artists,album,genres,popularity,duration_ms,release_date,preview_url,track_url,explicit,album_image_url
6VrBWh90BiwWmwKtvwWFcq,Ambiente,J Balvin,Vibras,latin; reggaeton,60,248826,2018-05-25,,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq,False,https://i.scdn.co/image/ab67616d0000b273dda2b86297d3bfb519f8b785
01MV13Hg9sfFNtgcMidjgE,Ambient White Tones,Hovar,Lean Noise,,75,123702,2022-01-11,,https://open.spotify.com/track/01MV13Hg9sfFNtgcMidjgE,False,https://i.scdn.co/image/ab67616d0000b273769acaad5e4009938809bfa2
0TCfCt0mpEBjwc5QPu1NJD,Contemplation,Luna Ombro,Contemplation,,63,172800,2024-11-22,,https://open.spotify.com/track/0TCfCt0mpEBjwc5QPu1NJD,False,https://i.scdn.co/image/ab67616d0000b273c0cf32adcbcd913ee83dcd76
1LOq9dhGdooVe9KwNFDwuA,ambient resonance,Lonely Lies,ambient resonance,rally house; synthwave,47,114000,2024-01-19,,https://open.spotify.com/track/1LOq9dhGdooVe9KwNFDwuA,False,https://i.scdn.co/image/ab67616d0000b273c1be212a374d0509cb9f4a7e
72a5gVOI8viG16Y2vmHBQ4,432 Hz Ambient Relaxation,Miracle Tones,432 Hz Deep Sleep,,67,191000,2023-02-17,,https://open.spotify.com/track/72a5gVOI8viG16Y2vmHBQ4,False,https://i.scdn.co/image/ab67616d0000b2732f2dfda23744de37668fea04
5IwttgCz4FPDkodjrZtLb3,Lotus,Sol Reya,Lotus,,59,139674,2024-11-03,,https://open.spotify.com/track/5IwttgCz4FPDkodjrZtLb3,False,https://i.scdn.co/image/ab67616d0000b27387a2fc2b31fa21e22f965fc7
3MMqknApYYqJLMuYn2mrhz,Ambiente,Alex Krack; Jøtta,Ambiente,rkt; salsa choke,46,201505,2025-04-25,,https://open.spotify.com/track/3MMqknApYYqJLMuYn2mrhz,False,https://i.scdn.co/image/ab67616d0000b273fdab4b1e8143e8a05ec4db19
458TLdY9RwkXQaDTSaiLYi,Ambient Rain,chill phil,Rain & Thunder - Ambient Music,,62,134000,2020-02-21,,https://open.spotify.com/track/458TLdY9RwkXQaDTSaiLYi,False,https://i.scdn.co/image/ab67616d0000b2736c8a21b785c8a4dec62a6e0c
6JNaHAeQrCiqIf0nvZHu3b,Initially,Aveniós,Initially,,62,185008,2024-11-08,,https://open.spotify.com/track/6JNaHAeQrCiqIf0nvZHu3b,False,https://i.scdn.co/image/ab67616d0000b2732a3c4fb6cf3dfe6e601c7194
4N9V7YYPoN4DoSnjjfHW1k,Ambiente,J Balvin,Ambiente,latin; reggaeton,53,249253,2018-04-13,,https://open.spotify.com/track/4N9V7YYPoN4DoSnjjfHW1k,False,https://i.scdn.co/image/ab67616d0000b2736d842333abacb347a98ffc83
